file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9950,0.9938,0.0000,0.0125
d02,0.9825,0.9775,0.0187,0.0063
d03,0.0163,0.0163,0.0000,0.0000
d04,0.2325,0.2875,0.0000,0.0187
d05,0.2100,0.1175,0.0000,0.0187
d06,0.9988,0.9962,0.0063,0.0000
d07,1.0000,0.7525,0.0063,0.0187
d08,0.9387,0.6850,0.0063,0.0125
d09,0.0200,0.0138,0.0125,0.0125
d10,0.1638,0.0700,0.0063,0.0125
d11,0.2825,0.2662,0.0187,0.0063
d12,0.9038,0.5038,0.0000,0.0063
d13,0.9375,0.6725,0.0187,0.0000
d14,0.7225,0.7575,0.0125,0.0125
d15,0.0075,0.0088,0.0063,0.0063
d16,0.5025,0.4750,0.0312,0.0125
d17,0.4000,0.4537,0.0063,0.0063
d18,0.8838,0.8862,0.0063,0.0000
d19,0.0200,0.0400,0.0000,0.0063
d20,0.5900,0.5725,0.0000,0.0063
d21,0.4450,0.0537,0.0063,0.0000
Average,0.5358,0.4571,0.0077,0.0083
