file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9925,0.9900,0.0000,0.0063
d02,0.9688,0.9762,0.0000,0.0000
d03,0.0112,0.0150,0.0000,0.0000
d04,0.2950,0.0375,0.0000,0.0125
d05,0.1975,0.1938,0.0000,0.0063
d06,1.0000,0.9962,0.0063,0.0063
d07,0.9975,0.9888,0.0000,0.0000
d08,0.9475,0.9150,0.0000,0.0000
d09,0.0213,0.0288,0.0187,0.0125
d10,0.2125,0.0887,0.0187,0.0063
d11,0.2675,0.4288,0.0000,0.0000
d12,0.5962,0.5350,0.0000,0.0063
d13,0.9487,0.9150,0.0000,0.0000
d14,0.7025,0.7675,0.0187,0.0125
d15,0.0075,0.0138,0.0000,0.0063
d16,0.5312,0.6412,0.0250,0.0000
d17,0.3525,0.4475,0.0125,0.0063
d18,0.8900,0.8950,0.0063,0.0063
d19,0.0288,0.1062,0.0063,0.0063
d20,0.5537,0.5537,0.0000,0.0063
d21,0.4550,0.3925,0.0125,0.0437
Average,,0.5227,0.5203,0.0060,0.0068
