file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9912,0.9950,0.0063,0.0000
d02,0.9762,0.9788,0.0063,0.0063
d03,0.0238,0.0213,0.0187,0.0312
d04,0.1525,0.0550,0.0125,0.0187
d05,0.2175,0.9975,0.0125,0.0187
d06,0.9988,1.0000,0.0063,0.0063
d07,0.9475,0.9938,0.0063,0.0125
d08,0.9237,0.8788,0.0063,0.0312
d09,0.0225,0.0250,0.0063,0.0063
d10,0.3200,0.6687,0.0187,0.0063
d11,0.2062,0.0963,0.0063,0.0063
d12,0.8875,0.9250,0.0187,0.0125
d13,0.9213,0.9413,0.0063,0.0063
d14,0.8775,0.9175,0.0063,0.0125
d15,0.0275,0.0175,0.0063,0.0312
d16,0.6012,0.7538,0.0250,0.0312
d17,0.5637,0.7837,0.0063,0.0187
d18,0.8962,0.8900,0.0063,0.0250
d19,0.3425,0.6125,0.0063,0.0125
d20,0.5950,0.6338,0.0063,0.0250
d21,0.3275,0.3563,0.0312,0.0125
Average,0.5629,0.6448,0.0107,0.0158
