file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9925,0.9962,0.0000,0.0063
d02,0.9762,0.9775,0.0063,0.0063
d03,0.0050,0.0125,0.0125,0.0000
d04,0.3600,0.0387,0.0000,0.0187
d05,0.2050,0.0612,0.0125,0.0000
d06,0.9975,0.9988,0.0000,0.0000
d07,0.8525,0.3575,0.0063,0.0187
d08,0.9387,0.6188,0.0125,0.0063
d09,0.0063,0.0037,0.0063,0.0063
d10,0.1663,0.0275,0.0063,0.0000
d11,0.3950,0.1537,0.0063,0.0063
d12,0.9100,0.3400,0.0000,0.0375
d13,0.9475,0.9150,0.0000,0.0063
d14,0.7688,0.6725,0.0000,0.0063
d15,0.0150,0.0112,0.0125,0.0063
d16,0.5938,0.6562,0.0063,0.0250
d17,0.4637,0.3438,0.0125,0.0125
d18,0.8800,0.8825,0.0000,0.0000
d19,0.0663,0.0250,0.0000,0.0063
d20,0.5713,0.5125,0.0063,0.0063
d21,0.2700,0.2762,0.0000,0.0250
