file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,99.25%,99.62%,0.00%,0.63%
d02,97.62%,97.75%,0.63%,0.63%
d03,0.50%,1.25%,1.25%,0.00%
d04,36.00%,3.87%,0.00%,1.87%
d05,20.50%,6.12%,1.25%,0.00%
d06,99.75%,99.88%,0.00%,0.00%
d07,85.25%,35.75%,0.63%,1.87%
d08,93.87%,61.88%,1.25%,0.63%
d09,0.63%,0.37%,0.63%,0.63%
d10,16.63%,2.75%,0.63%,0.00%
d11,39.50%,15.37%,0.63%,0.63%
d12,91.00%,34.00%,0.00%,3.75%
d13,94.75%,91.50%,0.00%,0.63%
d14,76.88%,67.25%,0.00%,0.63%
d15,1.50%,1.12%,1.25%,0.63%
d16,59.38%,65.62%,0.63%,2.50%
d17,46.37%,34.38%,1.25%,1.25%
d18,88.00%,88.25%,0.00%,0.00%
d19,6.63%,2.50%,0.00%,0.63%
d20,57.13%,51.25%,0.63%,0.63%
d21,27.00%,27.62%,0.00%,2.50%
