file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9950,0.9838,0.0000,0.0063
d02,0.9775,0.9613,0.0125,0.0063
d03,0.0175,0.0163,0.0000,0.0125
d04,0.1300,0.0750,0.0187,0.0187
d05,0.2225,0.1913,0.0187,0.0063
d06,0.9975,0.9988,0.0000,0.0000
d07,1.0000,0.4150,0.0000,0.0063
d08,0.9413,0.6963,0.0125,0.0000
d09,0.0225,0.0150,0.0312,0.0187
d10,0.1700,0.1200,0.0063,0.0000
d11,0.0750,0.1175,0.0125,0.0125
d12,0.8425,0.6325,0.0125,0.0000
d13,0.9275,0.9313,0.0000,0.0063
d14,0.7350,0.7925,0.0000,0.0063
d15,0.0125,0.0400,0.0063,0.0250
d16,0.7400,0.5238,0.0250,0.0125
d17,0.2275,0.3663,0.0000,0.0063
d18,0.8875,0.8850,0.0125,0.0063
d19,0.0175,0.1675,0.0063,0.0187
d20,0.5675,0.5625,0.0000,0.0000
d21,0.3600,0.0862,0.0187,0.0125
