file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,99.50%,98.38%,0.00%,0.63%
d02,97.75%,96.13%,1.25%,0.63%
d03,1.75%,1.63%,0.00%,1.25%
d04,13.00%,7.50%,1.87%,1.87%
d05,22.25%,19.13%,1.87%,0.63%
d06,99.75%,99.88%,0.00%,0.00%
d07,100.00%,41.50%,0.00%,0.63%
d08,94.13%,69.63%,1.25%,0.00%
d09,2.25%,1.50%,3.12%,1.87%
d10,17.00%,12.00%,0.63%,0.00%
d11,7.50%,11.75%,1.25%,1.25%
d12,84.25%,63.25%,1.25%,0.00%
d13,92.75%,93.13%,0.00%,0.63%
d14,73.50%,79.25%,0.00%,0.63%
d15,1.25%,4.00%,0.63%,2.50%
d16,74.00%,52.38%,2.50%,1.25%
d17,22.75%,36.63%,0.00%,0.63%
d18,88.75%,88.50%,1.25%,0.63%
d19,1.75%,16.75%,0.63%,1.87%
d20,56.75%,56.25%,0.00%,0.00%
d21,36.00%,8.62%,1.87%,1.25%
