file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,0.9938,0.9912,0.0000,0.0125
d02,0.9812,0.9825,0.0000,0.0063
d03,0.0050,0.0075,0.0063,0.0000
d04,0.2137,0.1575,0.0000,0.0000
d05,0.2162,0.3000,0.0000,0.0000
d06,0.9988,0.9975,0.0063,0.0000
d07,0.9988,0.9862,0.0125,0.0000
d08,0.9062,0.8875,0.0125,0.0125
d09,0.0163,0.0150,0.0375,0.0250
d10,0.2612,0.3063,0.0125,0.0063
d11,0.3350,0.3738,0.0125,0.0063
d12,0.8650,0.9287,0.0000,0.0125
d13,0.9163,0.9337,0.0000,0.0063
d14,0.7462,0.8525,0.0063,0.0125
d15,0.0187,0.0112,0.0000,0.0063
d16,0.5837,0.5475,0.0375,0.0000
d17,0.2662,0.5700,0.0000,0.0063
d18,0.8812,0.8888,0.0063,0.0063
d19,0.0250,0.0950,0.0125,0.0125
d20,0.5613,0.6325,0.0063,0.0063
d21,0.5088,0.4487,0.0250,0.0312
