file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,99.38%,99.12%,0.00%,1.25%
d02,98.12%,98.25%,0.00%,0.63%
d03,0.50%,0.75%,0.63%,0.00%
d04,21.37%,15.75%,0.00%,0.00%
d05,21.62%,30.00%,0.00%,0.00%
d06,99.88%,99.75%,0.63%,0.00%
d07,99.88%,98.62%,1.25%,0.00%
d08,90.62%,88.75%,1.25%,1.25%
d09,1.63%,1.50%,3.75%,2.50%
d10,26.12%,30.63%,1.25%,0.63%
d11,33.50%,37.38%,1.25%,0.63%
d12,86.50%,92.87%,0.00%,1.25%
d13,91.63%,93.37%,0.00%,0.63%
d14,74.62%,85.25%,0.63%,1.25%
d15,1.87%,1.12%,0.00%,0.63%
d16,58.37%,54.75%,3.75%,0.00%
d17,26.62%,57.00%,0.00%,0.63%
d18,88.12%,88.88%,0.63%,0.63%
d19,2.50%,9.50%,1.25%,1.25%
d20,56.13%,63.25%,0.63%,0.63%
d21,50.88%,44.87%,2.50%,3.12%
