file,T2_FDR,SPE_FDR,T2_FAR,SPE_FAR
d01,99.38%,99.75%,0.00%,0.63%
d02,98.25%,98.38%,0.00%,0.00%
d03,1.63%,2.75%,0.00%,0.63%
d04,9.63%,97.38%,0.63%,0.63%
d05,25.75%,31.37%,0.63%,0.63%
d06,99.75%,99.88%,0.00%,0.00%
d07,99.25%,99.88%,0.00%,0.00%
d08,96.00%,97.12%,0.63%,0.63%
d09,1.00%,2.13%,3.75%,5.63%
d10,27.12%,39.87%,0.00%,0.00%
d11,19.50%,57.63%,0.00%,0.63%
d12,89.38%,92.13%,0.63%,1.25%
d13,94.25%,94.13%,0.63%,0.00%
d14,64.88%,94.00%,0.00%,0.63%
d15,1.12%,2.38%,0.00%,0.00%
d16,56.63%,72.25%,2.50%,4.37%
d17,35.38%,59.25%,0.63%,0.63%
d18,87.12%,89.62%,0.63%,1.25%
d19,6.63%,21.25%,1.25%,1.25%
d20,65.25%,64.50%,0.00%,0.63%
d21,40.25%,46.25%,1.25%,1.25%
Average,53.24%,64.85%,0.63%,0.98%
