Fault_No,PCA_T2,PCA_SPE,ICA_T2,ICA_SPE,NMF_T2,NMF_SPE,SNMF_T2,SNMF_SPE,GNMF_T2,GNMF_SPE,SJSNMF_T2,SJSNMF_SPE
IDV(1),0.00%,0.63%,0.63%,0.00%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.00%
IDV(2),1.25%,0.63%,0.63%,0.63%,1.25%,0.63%,0.63%,0.63%,0.63%,0.63%,0.00%,0.63%
IDV(3),0.00%,1.25%,0.63%,2.50%,0.00%,1.25%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%
IDV(4),0.63%,1.25%,0.00%,0.63%,0.63%,1.88%,0.63%,1.25%,0.63%,0.63%,0.63%,0.00%
IDV(5),0.63%,1.25%,1.88%,0.63%,1.25%,1.25%,0.63%,0.00%,0.00%,0.63%,0.00%,0.00%
IDV(6),0.00%,1.88%,0.00%,1.25%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%
IDV(7),0.00%,1.25%,0.63%,1.88%,0.63%,1.25%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%
IDV(8),0.00%,0.63%,0.00%,0.63%,0.63%,1.25%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%
IDV(9),1.88%,1.88%,2.50%,0.63%,1.25%,1.88%,1.25%,0.63%,1.25%,1.25%,0.00%,0.63%
IDV(10),0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IDV(11),0.63%,2.50%,0.63%,1.25%,1.88%,2.50%,1.25%,1.25%,0.63%,1.25%,0.63%,1.25%
IDV(12),0.00%,1.25%,0.63%,0.63%,0.00%,1.88%,0.00%,1.25%,0.00%,0.63%,0.00%,0.63%
IDV(13),0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%,0.00%
IDV(14),0.00%,1.25%,1.88%,0.63%,0.00%,1.88%,0.00%,1.25%,0.00%,1.25%,0.00%,0.63%
IDV(15),0.00%,1.25%,0.00%,2.50%,0.00%,2.50%,0.00%,1.25%,0.00%,1.25%,0.00%,0.00%
IDV(16),3.75%,1.88%,4.38%,0.75%,3.75%,2.50%,2.50%,1.25%,1.88%,1.88%,0.63%,1.25%
IDV(17),1.25%,2.50%,0.63%,1.25%,1.25%,2.50%,0.63%,2.50%,1.25%,2.50%,0.63%,1.88%
IDV(18),0.00%,2.63%,0.00%,0.25%,0.63%,2.63%,0.00%,1.25%,0.00%,0.63%,0.00%,0.63%
IDV(19),0.00%,1.25%,1.25%,0.63%,0.00%,1.88%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%
IDV(20),0.00%,3.13%,0.00%,2.50%,0.00%,3.13%,0.00%,2.50%,0.00%,2.50%,0.00%,1.25%
IDV(21),0.00%,1.25%,0.00%,0.63%,0.00%,1.25%,0.00%,0.63%,0.00%,0.63%,0.00%,0.63%
Average,0.21%,1.40%,0.81%,1.04%,0.63%,1.61%,0.39%,0.83%,0.30%,0.93%,0.14%,0.51%
